ID,requestTime,pickupTime,pickoffTime,expectedTime,movementTime,sharingTime,vehicle
1372636853620000380,2013-07-01 08:00:53,2013-07-01 08:04:09,2013-07-01 08:07:51,120.0,222.0,222.0,102
1372636854620000520,2013-07-01 08:00:54,2013-07-01 08:02:28,2013-07-01 08:07:37,0.0,309.0,0.0,45
1372636858620000589,2013-07-01 08:00:58,2013-07-01 08:05:25,2013-07-01 08:21:49,270.0,984.0,835.0,102
1372636875620000233,2013-07-01 08:01:15,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,104
1372636896620000360,2013-07-01 08:01:36,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,104
1372636951620000320,2013-07-01 08:02:31,2013-07-01 08:04:09,2013-07-01 08:05:25,76.0,76.0,76.0,102
1372636956620000167,2013-07-01 08:02:36,2013-07-01 08:06:36,2013-07-01 08:16:59,0.0,623.0,0.0,104
1372636965620000231,2013-07-01 08:02:45,2013-07-01 08:05:10,2013-07-01 08:22:16,454.0,1026.0,1026.0,57
1372637072620000367,2013-07-01 08:04:32,2013-07-01 08:05:38,2013-07-01 08:18:07,311.0,749.0,749.0,57
1372637084620000285,2013-07-01 08:04:44,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,45
1372637091620000337,2013-07-01 08:04:51,2013-07-01 08:07:01,2013-07-01 08:16:47,0.0,586.0,0.0,85
1372637210620000456,2013-07-01 08:06:50,2013-07-01 08:10:07,2013-07-01 08:13:51,0.0,224.0,0.0,90
1372637230620000503,2013-07-01 08:07:10,2013-07-01 08:11:47,2013-07-01 08:14:51,184.0,184.0,184.0,57
1372637247620000067,2013-07-01 08:07:27,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,104
1372637254620000657,2013-07-01 08:07:34,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,85
1372637274620000403,2013-07-01 08:07:54,2013-07-01 08:11:58,2013-07-01 08:21:11,391.0,553.0,553.0,45
1372637299620000011,2013-07-01 08:08:19,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,104
1372637303620000596,2013-07-01 08:08:23,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,62
1372637343620000571,2013-07-01 08:09:03,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,102
1372637345620000589,2013-07-01 08:09:05,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,62
1372637369620000381,2013-07-01 08:09:29,2013-07-01 08:11:58,2013-07-01 08:16:19,171.0,261.0,261.0,45
1372637397620000190,2013-07-01 08:09:57,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,102
1372637423620000341,2013-07-01 08:10:23,2013-07-01 08:12:53,2013-07-01 08:30:50,753.0,1077.0,1077.0,45
1372637453620000648,2013-07-01 08:10:53,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,62
1372637482620000005,2013-07-01 08:11:22,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,90
1372637610620000497,2013-07-01 08:13:30,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,72
1372637658620000596,2013-07-01 08:14:18,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,85
1372637715620000398,2013-07-01 08:15:15,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,102
1372637721620000678,2013-07-01 08:15:21,2013-07-01 08:19:51,2013-07-01 08:45:56,443.0,1565.0,1326.0,90
1372637728620000671,2013-07-01 08:15:28,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,102
1372637754620000007,2013-07-01 08:15:54,2013-07-01 08:19:37,2013-07-01 08:44:47,0.0,1510.0,0.0,69
1372637905620000320,2013-07-01 08:18:25,2013-07-01 08:22:39,2013-07-01 08:28:16,0.0,337.0,0.0,62
1372637915620000344,2013-07-01 08:18:35,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,85
1372637926620000173,2013-07-01 08:18:46,2013-07-01 08:22:22,2013-07-01 08:22:22,0.0,0.0,0.0,104
1372637984620000520,2013-07-01 08:19:44,2013-07-01 08:22:33,2013-07-01 08:32:06,0.0,573.0,0.0,72
1372638021620000256,2013-07-01 08:20:21,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,62
1372638031620000171,2013-07-01 08:20:31,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,62
1372638035620000337,2013-07-01 08:20:35,2013-07-01 08:24:54,2013-07-01 08:31:44,333.0,410.0,410.0,85
1372638137620000325,2013-07-01 08:22:17,1970-01-01 08:00:00,1970-01-01 08:00:00,0.0,0.0,0.0,90
1372638151620000231,2013-07-01 08:22:31,2013-07-01 08:25:07,2013-07-01 08:35:18,258.0,611.0,611.0,43
