VehicleID,Latitude,Longitude
92,30.5875,114.2825
83,30.6175,114.25750000000001
23,30.5975,114.2825
95,30.5675,114.2625
77,30.5875,114.2825
86,30.6175,114.25750000000001
50,30.5875,114.27250000000001
59,30.5775,114.2775
41,30.5825,114.2625
32,30.592499999999998,114.2775
68,30.6225,114.27250000000001
53,30.5825,114.2525
62,30.5875,114.2675
35,30.592499999999998,114.2525
44,30.6175,114.27250000000001
8,30.5675,114.3025
17,30.6125,114.2825
26,30.5975,114.2675
80,30.5975,114.2675
89,30.592499999999998,114.25750000000001
98,30.6125,114.27250000000001
71,30.607499999999998,114.25750000000001
11,30.572499999999998,114.2675
74,30.6225,114.27250000000001
56,30.592499999999998,114.25750000000001
38,30.5875,114.2775
29,30.6025,114.2625
47,30.6175,114.25750000000001
20,30.6125,114.2975
2,30.6125,114.2975
65,30.5875,114.2825
5,30.6225,114.27250000000001
14,30.607499999999998,114.2875
46,30.6175,114.2625
82,30.572499999999998,114.2625
91,30.5975,114.27250000000001
55,30.5675,114.3025
64,30.5875,114.2775
73,30.5875,114.2825
58,30.6025,114.2975
67,30.6125,114.2825
85,30.5875,114.2775
94,30.5875,114.2825
40,30.6125,114.2775
49,30.5825,114.2525
4,30.572499999999998,114.2775
13,30.5875,114.2825
22,30.5975,114.2925
31,30.5875,114.2825
76,30.5825,114.2625
16,30.6225,114.25750000000001
97,30.6025,114.2775
7,30.592499999999998,114.2875
79,30.607499999999998,114.2925
88,30.6175,114.25750000000001
70,30.6025,114.25750000000001
43,30.5775,114.2775
52,30.5825,114.2675
25,30.5875,114.2675
34,30.6025,114.25750000000001
61,30.6175,114.2825
10,30.5825,114.25750000000001
37,30.5775,114.25750000000001
1,30.6225,114.27250000000001
28,30.6125,114.3025
19,30.6225,114.27250000000001
60,30.6025,114.2875
87,30.5825,114.2775
96,30.5775,114.2775
69,30.6025,114.2875
78,30.6225,114.27250000000001
99,30.592499999999998,114.2625
63,30.592499999999998,114.27250000000001
90,30.572499999999998,114.25750000000001
45,30.6225,114.27250000000001
54,30.6175,114.2525
72,30.5675,114.3025
81,30.5875,114.2825
27,30.6125,114.2625
36,30.5825,114.2675
9,30.5975,114.2875
18,30.6175,114.2525
48,30.607499999999998,114.2625
21,30.6175,114.2525
57,30.6225,114.2875
12,30.6225,114.2975
3,30.607499999999998,114.3025
84,30.607499999999998,114.2675
93,30.6175,114.2525
75,30.6125,114.2825
30,30.6175,114.25750000000001
39,30.6025,114.2875
66,30.607499999999998,114.27250000000001
15,30.5825,114.27250000000001
42,30.5775,114.2675
51,30.6025,114.2975
33,30.6125,114.2925
24,30.6025,114.2975
6,30.592499999999998,114.2625
0,30.592499999999998,114.2775
