userid,pickupDate,pickuptime,pickoffDate,pickofftime,startLat,startLon,endLat,endLon,startGrid,endGrid
1372953602620000329,2013-07-05,00:00:02,2013-07-05,00:14:32,41.172147,-8.611218,41.14539,-8.607312,3518010,3508431
1372953617620000160,2013-07-05,00:00:17,2013-07-05,00:21:02,41.148459,-8.585604,41.173767,-8.688447,3508435,3517995
1372953621620000529,2013-07-05,00:00:21,2013-07-05,00:41:36,41.156514,-8.628489,41.173191,-8.625105,3512259,3518007
1372953623620000421,2013-07-05,00:00:23,2013-07-05,00:09:53,41.172147,-8.6112,41.14611,-8.611551,3518010,3508430
1372953633620000273,2013-07-05,00:00:33,2013-07-05,00:06:48,41.148585,-8.585775,41.141547,-8.60652,3508435,3506515
1372953642620000148,2013-07-05,00:00:42,2013-07-05,00:04:57,41.161158,-8.607564,41.149467,-8.599473,3514179,3508433
1372953646620000386,2013-07-05,00:00:46,2013-07-05,00:06:31,41.150268,-8.640981,41.140368,-8.635995,3510340,3506509
1372953662620000294,2013-07-05,00:01:02,2013-07-05,00:16:17,41.157387,-8.628372,41.153985,-8.674056,3512259,3510334
1372953666620000303,2013-07-05,00:01:06,2013-07-05,00:09:21,41.157297,-8.628336,41.153724,-8.599689,3512259,3510349
1372953685620000619,2013-07-05,00:01:25,2013-07-05,00:07:55,41.180355,-8.647344,41.175657,-8.668152,3521835,3519915
1372953690620000154,2013-07-05,00:01:30,2013-07-05,00:03:15,41.160438,-8.611704,41.167494,-8.611173,3514178,3516094
1372953694620000649,2013-07-05,00:01:34,2013-07-05,00:08:04,41.180616,-8.582436,41.191425,-8.537931,3521848,3525689
1372953704620000166,2013-07-05,00:01:44,2013-07-05,00:21:44,41.145462,-8.607456,41.237433,-8.670114,3508431,3542906
1372953710620000215,2013-07-05,00:01:50,2013-07-05,00:16:50,41.146992,-8.611353,41.132754,-8.56143,3508430,3502692
1372953734620000436,2013-07-05,00:02:14,2013-07-05,00:15:29,41.159169,-8.638389,41.236398,-8.63874,3512257,3542913
1372953742620000497,2013-07-05,00:02:22,2013-07-05,00:08:07,41.154507,-8.613216,41.16429,-8.618994,3510346,3514177
1372953743620000140,2013-07-05,00:02:23,2013-07-05,00:14:23,41.14863,-8.585712,41.158296,-8.606709,3508435,3512263
1372953745620000158,2013-07-05,00:02:25,2013-07-05,00:20:10,41.160042,-8.640684,41.14899,-8.585685,3514172,3508435
1372953765620000347,2013-07-05,00:02:45,2013-07-05,00:14:30,41.137794,-8.612667,41.150862,-8.599113,3504598,3510349
1372953765620000342,2013-07-05,00:02:45,2013-07-05,00:10:15,41.165109,-8.630712,41.198472,-8.655579,3516090,3527581
1372953794620000249,2013-07-05,00:03:14,2013-07-05,00:31:44,41.140701,-8.615502,41.219514,-8.552646,3506513,3535266
1372953841620000602,2013-07-05,00:04:01,2013-07-05,00:14:46,41.172741,-8.611515,41.16861,-8.585658,3518010,3516099
1372953873620000012,2013-07-05,00:04:33,2013-07-05,00:08:33,41.14836,-8.634951,41.1543,-8.646597,3508426,3510339
1372953881620000337,2013-07-05,00:04:41,2013-07-05,00:32:11,41.15034,-8.607024,41.153364,-8.50851,3510347,3510367
1372953892620000680,2013-07-05,00:04:52,2013-07-05,00:14:52,41.145687,-8.610804,41.154471,-8.630667,3508430,3510342
1372953893620000142,2013-07-05,00:04:53,2013-07-05,00:17:53,41.141583,-8.616681,41.165181,-8.622738,3506513,3516092
